(0.6850455300100466, -0.23013099895511524)
(0.3288240365456825, -0.3390214154994833)
(0.7191235216122243, -0.3329439582773266)
(0.8630796679534014, 0.18711186777780742)
(1.2378896814160565, -0.2853190772480222)
(1.5736189284350028, -0.0009915968000970832)
(1.5362871319251106, -0.3684358457155742)
(-1.5872450381707464, 0.10166826615294489)
(-1.4409816106832571, -0.029591543544483012)
(0.9736039653791759, 0.3327147027373303)
(-1.4701435565009162, -0.04602634684045237)
(1.040536364678188, -0.057993816154176536)
(-0.42602262322833173, -0.2806180841386269)
(1.959962783489833, -0.4726609035724626)
(1.8315699391308846, -0.28596364660227847)
(1.3012027535283837, -0.03953660009256166)
(0.31518264253854644, 0.44527380462138244)
(1.689928520079766, -0.4734204409395767)
(1.0350661414805251, 0.1264045736337852)
(1.9293317711371416, 0.3632336326613067)
(0.4367828084872336, 0.24546381765610004)
(1.3909532071952588, -0.3833449414523179)
(0.07354347567185071, 0.10770692621035449)
(1.4582696657114607, 0.14548806974552064)
(-0.7027717460410448, -0.14559563677803866)
(1.4671528939032794, 0.1184093933894409)
(-0.9070906503540606, -0.41664881006280263)
(-1.3649782458515851, 0.17154188992674857)
(-0.049499706052824166, -0.20781829377649264)
(0.052655487748840546, -0.06463644788082812)
(-0.07807525960459305, -0.1145887490407409)
(-1.9332724596136273, -0.4158911755149336)
(-1.4065943663245664, 0.14839057623602048)
(1.347567441423391, 0.023935369998024147)
(-0.775000422825443, -0.4907818529162903)
(0.17631657358802855, 0.4503872713439234)
(0.34863226997873875, -0.015206784643457039)
(-1.4824876072912399, 0.15402691322284123)
(-0.4033403988092319, -0.47267550565834215)
(-0.2569778754299703, 0.3214324712775356)
(-0.8588729413282454, -0.46920955746633075)
(0.4412514772185947, -0.06842618313015747)
(1.7673935092301591, 0.10297378701699333)
(-1.5589121384993008, -0.349125534568272)
(-0.3900724442638692, 0.028976811320635343)
(-0.6459952493345891, 0.19575717405599458)
(1.799921390250066, 0.18314092614322797)
(1.5640407315458598, 0.12505652726746141)
(-0.7180508225793156, 0.4834300453055451)
(0.39853249413557634, 0.27469073711864334)
(0.2558259846723039, -0.47578418166138614)
(0.0937144803964638, 0.029856666843774193)
(0.0826488903398106, 0.35368111784984724)
(-1.0021877625726061, 0.16197470952789306)
(0.9815273989581903, 0.18991701941731842)
(-0.33279104592795994, 0.45046858485185537)
(1.565707622855955, 0.198687696417023)
(1.2146503188075934, -0.02230549649300584)
(-0.9308003797084807, -0.10553241675141556)
(-1.7414078008937168, 0.2371932599057962)
(-1.6729027371910732, 0.3043069426738987)
(-1.3303041942192242, -0.16152158158587993)
(1.851664948660238, 0.12800122951576143)
(1.7351119134327297, -0.24923575284917976)
(0.9289374628748099, 0.4115159600870718)
(-1.74140036211715, 0.1623846855435871)
(0.6765757819236318, 0.47402236331693026)
(-1.524657976093415, -0.43246916416939085)
(-1.1497394891196517, -0.2932362973570576)
(-1.8318002954185162, 0.24309371089286835)
(-1.5311015762989078, 0.0506553349636828)
(-1.6008482560605968, -0.21345370172885758)
(0.4446946360055133, -0.4647638993639812)
(-1.4850612761785866, -0.47622079731290023)
(-0.844357954196822, -0.37686508948345954)
(0.8018271753758963, -0.2270872306700047)
(1.7213229996182027, 0.39299545446708695)
(-1.8476152145847635, 0.4651264648285467)
(-1.4375109747303108, -0.04009928443258193)
(1.9088206187690386, 0.31554165395088085)
(0.24861912004576547, 0.197935073715103)
(-1.5973928876023207, 0.11526941661670376)
(0.891793572650522, -0.024482393567241578)
(0.8957648516109993, 0.008290536653874137)
(-1.8902599990730784, 0.27180460243971183)
(0.1332603100813743, -0.07298383585572243)
(0.5693935089425692, -0.3439512467328968)
(1.705201192007725, -0.08632242478095975)
(-1.3525499522445719, -0.23654739002463276)
(-1.8738511994459266, 0.4915246391860818)
(-1.936234035119206, 0.31451781344143237)
(-1.066763044573324, -0.13756258586871817)
(-1.6000238122467199, -0.45635411928392977)
(1.769323293473989, -0.07584075359871534)
(-1.3690551270037488, -0.046592823375701364)
(0.8013782722123786, 0.3232313227057352)
(0.06122961354692036, -0.3975412715110659)
(-1.1137118580919863, -0.18049715869700644)
(-1.7398407629068293, 0.45081975632757065)
(-0.2994667192122771, 0.10921281972092678)
(-0.14665419460520956, -0.19816731556612188)
(0.7911557377775948, -0.39527146945389546)
(1.9657893683402157, 0.1916610338615109)
(-0.3255650883169854, 0.00224598285247557)
(0.18718442906770294, -0.0016357010720273735)
(-0.9474384078943427, -0.039879904214840556)
(0.8378081895744578, 0.2657365177666865)
(0.18123130865137993, 0.4221483368161032)
(-0.8275434159111774, 0.21277766427582212)
(-0.8467495544672881, 0.3790647957483161)
(-0.5098856720920337, 0.15779876491001177)
(-0.9380406996546227, -0.3195534527176095)
(-1.0601513579661566, 0.39284672498245776)
(-1.4118375732995228, 0.49304476091320737)
(-0.25336865269284425, 0.15307558093691587)
(-1.607593122433025, -0.07099078615659382)
(-0.7125991300049157, 0.22549620327016873)
(0.3228311733241016, -0.47223203188634877)
(0.7541727825487454, 0.27602266573047674)
